srcid,destid,ds,yhat
01,02,2023-03-01,1084.0
01,02,2023-03-02,1036.0
01,02,2023-03-03,1154.0
01,02,2023-03-04,1161.0
01,02,2023-03-05,1455.0
01,02,2023-03-06,1233.0
01,02,2023-03-07,1181.0
01,02,2023-03-08,1087.0
01,02,2023-03-09,1039.0
01,02,2023-03-10,1157.0
01,02,2023-03-11,1164.0
01,02,2023-03-12,1458.0
01,02,2023-03-13,1236.0
01,02,2023-03-14,1184.0
01,02,2023-03-15,1090.0
01,02,2023-03-16,1042.0
01,02,2023-03-17,1159.0
01,02,2023-03-18,1167.0
01,02,2023-03-19,1461.0
01,02,2023-03-20,1239.0
01,02,2023-03-21,1187.0
01,02,2023-03-22,1093.0
01,02,2023-03-23,1045.0
01,02,2023-03-24,1162.0
01,02,2023-03-25,1170.0
01,02,2023-03-26,1464.0
01,02,2023-03-27,1242.0
01,02,2023-03-28,1190.0
01,02,2023-03-29,1095.0
01,02,2023-03-30,1047.0
01,02,2023-03-31,1165.0
01,02,2023-04-01,1173.0
01,02,2023-04-02,1467.0
01,02,2023-04-03,1245.0
01,02,2023-04-04,1193.0
01,02,2023-04-05,1098.0
01,02,2023-04-06,1050.0
01,02,2023-04-07,1168.0
01,02,2023-04-08,1176.0
01,02,2023-04-09,1470.0
01,02,2023-04-10,1248.0
01,02,2023-04-11,1195.0
01,02,2023-04-12,1101.0
01,02,2023-04-13,1053.0
01,02,2023-04-14,1171.0
01,02,2023-04-15,1178.0
01,02,2023-04-16,1472.0
01,02,2023-04-17,1250.0
01,02,2023-04-18,1198.0
01,02,2023-04-19,1104.0
01,02,2023-04-20,1056.0
01,02,2023-04-21,1174.0
01,02,2023-04-22,1181.0
01,02,2023-04-23,1475.0
01,02,2023-04-24,1253.0
01,02,2023-04-25,1201.0
01,02,2023-04-26,1107.0
01,02,2023-04-27,1059.0
01,02,2023-04-28,1177.0
01,02,2023-04-29,1184.0
01,02,2023-04-30,1478.0
01,02,2023-05-01,1256.0
01,02,2023-05-02,1204.0
01,02,2023-05-03,1110.0
01,02,2023-05-04,1062.0
01,02,2023-05-05,1179.0
01,02,2023-05-06,1187.0
01,02,2023-05-07,1481.0
01,02,2023-05-08,1259.0
01,02,2023-05-09,1207.0
01,02,2023-05-10,1112.0
01,02,2023-05-11,1065.0
01,02,2023-05-12,1182.0
01,02,2023-05-13,1190.0
01,02,2023-05-14,1484.0
01,02,2023-05-15,1262.0
01,02,2023-05-16,1210.0
01,02,2023-05-17,1115.0
01,02,2023-05-18,1067.0
01,02,2023-05-19,1185.0
01,02,2023-05-20,1193.0
01,02,2023-05-21,1487.0
01,02,2023-05-22,1265.0
01,02,2023-05-23,1212.0
01,02,2023-05-24,1118.0
01,02,2023-05-25,1070.0
01,02,2023-05-26,1188.0
01,02,2023-05-27,1195.0
01,02,2023-05-28,1489.0
01,02,2023-05-29,1267.0
01,02,2023-05-30,1215.0
01,02,2023-05-31,1121.0
01,02,2023-06-01,1073.0
01,02,2023-06-02,1191.0
01,02,2023-06-03,1198.0
01,02,2023-06-04,1492.0
01,02,2023-06-05,1270.0
01,02,2023-06-06,1218.0
01,02,2023-06-07,1124.0
01,02,2023-06-08,1076.0
01,02,2023-06-09,1194.0
01,02,2023-06-10,1201.0
01,02,2023-06-11,1495.0
01,02,2023-06-12,1273.0
01,02,2023-06-13,1221.0
01,02,2023-06-14,1127.0
01,02,2023-06-15,1079.0
01,02,2023-06-16,1197.0
01,02,2023-06-17,1204.0
01,02,2023-06-18,1498.0
01,02,2023-06-19,1276.0
01,02,2023-06-20,1224.0
01,02,2023-06-21,1130.0
01,02,2023-06-22,1082.0
01,02,2023-06-23,1199.0
01,02,2023-06-24,1207.0
01,02,2023-06-25,1501.0
01,02,2023-06-26,1279.0
01,02,2023-06-27,1227.0
01,02,2023-06-28,1132.0
01,02,2023-06-29,1085.0
01,02,2023-06-30,1202.0
01,02,2023-07-01,1210.0
01,02,2023-07-02,1504.0
01,02,2023-07-03,1282.0
01,02,2023-07-04,1230.0
01,02,2023-07-05,1135.0
01,02,2023-07-06,1087.0
01,02,2023-07-07,1205.0
01,02,2023-07-08,1213.0
01,02,2023-07-09,1507.0
01,02,2023-07-10,1285.0
01,02,2023-07-11,1232.0
01,02,2023-07-12,1138.0
01,02,2023-07-13,1090.0
01,02,2023-07-14,1208.0
01,02,2023-07-15,1215.0
01,02,2023-07-16,1509.0
01,02,2023-07-17,1287.0
01,02,2023-07-18,1235.0
01,02,2023-07-19,1141.0
01,02,2023-07-20,1093.0
01,02,2023-07-21,1211.0
01,02,2023-07-22,1218.0
01,02,2023-07-23,1512.0
01,02,2023-07-24,1290.0
01,02,2023-07-25,1238.0
01,02,2023-07-26,1144.0
01,02,2023-07-27,1096.0
01,02,2023-07-28,1214.0
01,02,2023-07-29,1221.0
01,02,2023-07-30,1515.0
01,02,2023-07-31,1293.0
01,02,2023-08-01,1241.0
01,02,2023-08-02,1147.0
01,02,2023-08-03,1099.0
01,02,2023-08-04,1216.0
01,02,2023-08-05,1224.0
01,02,2023-08-06,1518.0
01,02,2023-08-07,1296.0
01,02,2023-08-08,1244.0
01,02,2023-08-09,1150.0
01,02,2023-08-10,1102.0
01,02,2023-08-11,1219.0
01,02,2023-08-12,1227.0
01,02,2023-08-13,1521.0
01,02,2023-08-14,1299.0
01,02,2023-08-15,1247.0
01,02,2023-08-16,1152.0
01,02,2023-08-17,1105.0
01,02,2023-08-18,1222.0
01,02,2023-08-19,1230.0
01,02,2023-08-20,1524.0
01,02,2023-08-21,1302.0
01,02,2023-08-22,1250.0
01,02,2023-08-23,1155.0
01,02,2023-08-24,1107.0
01,02,2023-08-25,1225.0
01,02,2023-08-26,1233.0
01,02,2023-08-27,1527.0
01,02,2023-08-28,1305.0
01,02,2023-08-29,1252.0
01,02,2023-08-30,1158.0
01,02,2023-08-31,1110.0
01,02,2023-09-01,1228.0
01,02,2023-09-02,1235.0
01,02,2023-09-03,1529.0
01,02,2023-09-04,1307.0
01,02,2023-09-05,1255.0
01,02,2023-09-06,1161.0
01,02,2023-09-07,1113.0
01,02,2023-09-08,1231.0
01,02,2023-09-09,1238.0
01,02,2023-09-10,1532.0
01,02,2023-09-11,1310.0
01,02,2023-09-12,1258.0
01,02,2023-09-13,1164.0
01,02,2023-09-14,1116.0
01,02,2023-09-15,1234.0
01,02,2023-09-16,1241.0
01,02,2023-09-17,1535.0
01,02,2023-09-18,1313.0
01,02,2023-09-19,1261.0
01,02,2023-09-20,1167.0
01,02,2023-09-21,1119.0
01,02,2023-09-22,1236.0
01,02,2023-09-23,1244.0
01,02,2023-09-24,1538.0
01,02,2023-09-25,1316.0
01,02,2023-09-26,1264.0
01,02,2023-09-27,1170.0
01,02,2023-09-28,1122.0
01,02,2023-09-29,1239.0
01,02,2023-09-30,1247.0
01,02,2023-10-01,1541.0
01,02,2023-10-02,1319.0
01,02,2023-10-03,1267.0
01,02,2023-10-04,1172.0
01,02,2023-10-05,1124.0
01,02,2023-10-06,1242.0
01,02,2023-10-07,1250.0
01,02,2023-10-08,1544.0
01,02,2023-10-09,1322.0
01,02,2023-10-10,1269.0
01,02,2023-10-11,1175.0
01,02,2023-10-12,1127.0
01,02,2023-10-13,1245.0
01,02,2023-10-14,1253.0
01,02,2023-10-15,1547.0
01,02,2023-10-16,1324.0
01,02,2023-10-17,1272.0
01,02,2023-10-18,1178.0
01,02,2023-10-19,1130.0
01,02,2023-10-20,1248.0
01,02,2023-10-21,1255.0
01,02,2023-10-22,1549.0
01,02,2023-10-23,1327.0
01,02,2023-10-24,1275.0
01,02,2023-10-25,1181.0
01,02,2023-10-26,1133.0
01,02,2023-10-27,1251.0
01,02,2023-10-28,1258.0
01,02,2023-10-29,1552.0
01,02,2023-10-30,1330.0
01,02,2023-10-31,1278.0
01,02,2023-11-01,1184.0
01,02,2023-11-02,1136.0
01,02,2023-11-03,1254.0
01,02,2023-11-04,1261.0
01,02,2023-11-05,1555.0
01,02,2023-11-06,1333.0
01,02,2023-11-07,1281.0
01,02,2023-11-08,1187.0
01,02,2023-11-09,1139.0
01,02,2023-11-10,1256.0
01,02,2023-11-11,1264.0
01,02,2023-11-12,1558.0
01,02,2023-11-13,1336.0
01,02,2023-11-14,1284.0
01,02,2023-11-15,1189.0
01,02,2023-11-16,1142.0
01,02,2023-11-17,1259.0
01,02,2023-11-18,1267.0
01,02,2023-11-19,1561.0
01,02,2023-11-20,1339.0
01,02,2023-11-21,1287.0
01,02,2023-11-22,1192.0
01,02,2023-11-23,1144.0
01,02,2023-11-24,1262.0
01,02,2023-11-25,1270.0
01,02,2023-11-26,1564.0
01,02,2023-11-27,1342.0
01,02,2023-11-28,1289.0
01,02,2023-11-29,1195.0
01,02,2023-11-30,1147.0
01,02,2023-12-01,1265.0
01,02,2023-12-02,1272.0
01,02,2023-12-03,1566.0
01,02,2023-12-04,1344.0
01,02,2023-12-05,1292.0
01,02,2023-12-06,1198.0
01,02,2023-12-07,1150.0
01,02,2023-12-08,1268.0
01,02,2023-12-09,1275.0
01,02,2023-12-10,1569.0
01,02,2023-12-11,1347.0
01,02,2023-12-12,1295.0
01,02,2023-12-13,1201.0
01,02,2023-12-14,1153.0
01,02,2023-12-15,1271.0
01,02,2023-12-16,1278.0
01,02,2023-12-17,1572.0
01,02,2023-12-18,1350.0
01,02,2023-12-19,1298.0
01,02,2023-12-20,1204.0
01,02,2023-12-21,1156.0
01,02,2023-12-22,1274.0
01,02,2023-12-23,1281.0
01,02,2023-12-24,1575.0
01,02,2023-12-25,1353.0
01,02,2023-12-26,1301.0
01,02,2023-12-27,1207.0
01,02,2023-12-28,1159.0
01,02,2023-12-29,1276.0
01,02,2023-12-30,1284.0
01,02,2023-12-31,1578.0
01,02,2024-01-01,1356.0
01,02,2024-01-02,1304.0
01,02,2024-01-03,1209.0
01,02,2024-01-04,1162.0
01,02,2024-01-05,1279.0
01,02,2024-01-06,1287.0
01,02,2024-01-07,1581.0
01,02,2024-01-08,1359.0
01,02,2024-01-09,1307.0
01,02,2024-01-10,1212.0
01,02,2024-01-11,1164.0
01,02,2024-01-12,1282.0
01,02,2024-01-13,1290.0
01,02,2024-01-14,1584.0
01,02,2024-01-15,1362.0
01,02,2024-01-16,1309.0
01,02,2024-01-17,1215.0
01,02,2024-01-18,1167.0
01,02,2024-01-19,1285.0
01,02,2024-01-20,1292.0
01,02,2024-01-21,1586.0
01,02,2024-01-22,1364.0
01,02,2024-01-23,1312.0
01,02,2024-01-24,1218.0
01,02,2024-01-25,1170.0
01,02,2024-01-26,1288.0
01,02,2024-01-27,1295.0
01,02,2024-01-28,1589.0
01,02,2024-01-29,1367.0
01,02,2024-01-30,1315.0
01,02,2024-01-31,1221.0
01,02,2024-02-01,1173.0
01,02,2024-02-02,1291.0
01,02,2024-02-03,1298.0
01,02,2024-02-04,1592.0
01,02,2024-02-05,1370.0
01,02,2024-02-06,1318.0
01,02,2024-02-07,1224.0
01,02,2024-02-08,1176.0
01,02,2024-02-09,1293.0
01,02,2024-02-10,1301.0
01,02,2024-02-11,1595.0
01,02,2024-02-12,1373.0
01,02,2024-02-13,1321.0
01,02,2024-02-14,1226.0
01,02,2024-02-15,1178.0
01,02,2024-02-16,1296.0
01,02,2024-02-17,1304.0
01,02,2024-02-18,1598.0
01,02,2024-02-19,1375.0
01,02,2024-02-20,1323.0
